USER_ID,APP_NAME,PLATFORM,CREATE_TS,SESSION_ID,is_first_session
2,app_1,ios,2022-01-03T01:40:04.000Z,1641174004106,false
4,app_1,android,2022-01-03T14:51:55.000Z,1641221512824,false
4,app_1,android,2022-01-03T15:54:04.000Z,1641225242862,false
4,app_1,android,2022-01-03T16:42:19.000Z,1641228136157,false
10,app_1,android,2022-01-03T14:41:28.000Z,1641220889131,false
11,app_1,android,2022-01-03T12:00:54.000Z,1641211249313,false
14,app_1,ios,2022-01-03T00:14:34.000Z,1641168874214,false
14,app_1,ios,2022-01-03T00:18:11.000Z,1641169091246,false
14,app_1,ios,2022-01-03T00:25:11.000Z,1641169487583,false
14,app_1,ios,2022-01-03T01:58:50.000Z,1641175083692,false
14,app_1,ios,2022-01-03T02:05:50.000Z,1641175509647,false
14,app_1,ios,2022-01-03T02:09:27.000Z,1641175749068,false
14,app_1,ios,2022-01-03T02:21:17.000Z,1641176439915,false
14,app_1,ios,2022-01-03T02:22:50.000Z,1641176531048,false
14,app_1,ios,2022-01-03T02:35:16.000Z,1641177305598,false
14,app_1,ios,2022-01-03T02:36:49.000Z,1641177407439,false
14,app_1,ios,2022-01-03T02:39:24.000Z,1641177555965,false
14,app_1,ios,2022-01-03T02:42:29.000Z,1641177738755,false
14,app_1,ios,2022-01-03T02:48:20.000Z,1641178043274,false
14,app_1,ios,2022-01-03T02:56:04.000Z,1641178564041,false
15,app_1,android,2022-01-03T21:21:28.000Z,1641244859568,false
17,app_1,android,2022-01-03T16:44:18.000Z,1641228257793,false
17,app_1,android,2022-01-03T16:46:03.000Z,1641228343222,false
17,app_1,android,2022-01-03T16:46:54.000Z,1641228407354,false
17,app_1,android,2022-01-03T16:48:23.000Z,1641228493871,false
18,app_1,android,2022-01-03T07:44:40.000Z,1641195879666,false
18,app_1,android,2022-01-03T08:33:32.000Z,1641198812262,false
18,app_1,android,2022-01-03T08:34:34.000Z,1641198867786,false
18,app_1,android,2022-01-03T08:36:12.000Z,1641198961576,false
18,app_1,android,2022-01-03T08:36:48.000Z,1641199004862,false
18,app_1,android,2022-01-03T08:38:44.000Z,1641199117037,false
18,app_1,android,2022-01-03T08:41:01.000Z,1641199242773,false
18,app_1,android,2022-01-03T08:42:44.000Z,1641199357507,false
18,app_1,android,2022-01-03T08:44:34.000Z,1641199457619,false
18,app_1,android,2022-01-03T08:46:19.000Z,1641199553542,false
18,app_1,android,2022-01-03T08:49:09.000Z,1641199697785,false
18,app_1,android,2022-01-03T08:50:44.000Z,1641199828998,false
