USER_ID,PLATFORM,APP_NAME,CREATE_TS,INSTALL_TS,EVENT_NAME,SESSION_ID
1,ios,app_1,2022-01-01T01:09:32.000Z,2022-01-01T01:09:32.000Z,app_started,1640999371742
1,ios,app_1,2022-01-01T01:09:50.000Z,2022-01-01T01:09:32.000Z,level_started,1640999371742
1,ios,app_1,2022-01-01T01:10:14.000Z,2022-01-01T01:09:32.000Z,level_failed,1640999371742
2,ios,app_1,2022-01-01T18:55:17.000Z,2022-01-01T18:55:17.000Z,app_started,1641063316272
2,ios,app_1,2022-01-01T18:55:33.000Z,2022-01-01T18:55:17.000Z,level_started,1641063328206
2,ios,app_1,2022-01-01T18:55:55.000Z,2022-01-01T18:55:17.000Z,level_completed,1641063328206
2,ios,app_1,2022-01-01T18:56:28.000Z,2022-01-01T18:55:17.000Z,level_started,1641063328206
2,ios,app_1,2022-01-01T18:56:37.000Z,2022-01-01T18:55:17.000Z,level_completed,1641063328206
2,ios,app_1,2022-01-01T18:56:48.000Z,2022-01-01T18:55:17.000Z,level_started,1641063328206
2,ios,app_1,2022-01-01T18:57:03.000Z,2022-01-01T18:55:17.000Z,level_failed,1641063328206
2,ios,app_1,2022-01-01T18:57:29.000Z,2022-01-01T18:55:17.000Z,level_completed,1641063328206
2,ios,app_1,2022-01-01T18:58:17.000Z,2022-01-01T18:55:17.000Z,level_started,1641063488674
2,ios,app_1,2022-01-01T18:58:32.000Z,2022-01-01T18:55:17.000Z,level_completed,1641063488674
2,ios,app_1,2022-01-01T18:58:45.000Z,2022-01-01T18:55:17.000Z,level_started,1641063488674
2,ios,app_1,2022-01-01T18:58:52.000Z,2022-01-01T18:55:17.000Z,level_completed,1641063488674
2,ios,app_1,2022-01-01T18:59:48.000Z,2022-01-01T18:55:17.000Z,level_started,1641063488674
2,ios,app_1,2022-01-01T19:00:03.000Z,2022-01-01T18:55:17.000Z,level_completed,1641063488674
2,ios,app_1,2022-01-01T19:01:03.000Z,2022-01-01T18:55:17.000Z,level_started,1641063488674
2,ios,app_1,2022-01-01T19:01:20.000Z,2022-01-01T18:55:17.000Z,level_completed,1641063488674
2,ios,app_1,2022-01-01T19:01:40.000Z,2022-01-01T18:55:17.000Z,level_started,1641063488674
2,ios,app_1,2022-01-01T19:02:30.000Z,2022-01-01T18:55:17.000Z,level_failed,1641063488674
2,ios,app_1,2022-01-01T19:28:03.000Z,2022-01-01T18:55:17.000Z,app_started,1641065283271
2,ios,app_1,2022-01-01T19:29:09.000Z,2022-01-01T18:55:17.000Z,level_started,1641065283271
2,ios,app_1,2022-01-01T19:29:53.000Z,2022-01-01T18:55:17.000Z,level_failed,1641065283271
2,ios,app_1,2022-01-01T19:31:50.000Z,2022-01-01T18:55:17.000Z,level_completed,1641065283271
2,ios,app_1,2022-01-02T21:11:41.000Z,2022-01-01T18:55:17.000Z,app_started,1641157900472
2,ios,app_1,2022-01-02T21:12:04.000Z,2022-01-01T18:55:17.000Z,level_started,1641157900472
2,ios,app_1,2022-01-02T21:12:41.000Z,2022-01-01T18:55:17.000Z,level_completed,1641157900472
2,ios,app_1,2022-01-02T21:14:13.000Z,2022-01-01T18:55:17.000Z,level_started,1641157900472
2,ios,app_1,2022-01-02T21:14:32.000Z,2022-01-01T18:55:17.000Z,level_completed,1641157900472
2,ios,app_1,2022-01-02T21:16:08.000Z,2022-01-01T18:55:17.000Z,level_started,1641157900472
2,ios,app_1,2022-01-02T21:16:30.000Z,2022-01-01T18:55:17.000Z,level_completed,1641157900472
2,ios,app_1,2022-01-03T01:40:04.000Z,2022-01-01T18:55:17.000Z,app_started,1641174004106
2,ios,app_1,2022-01-03T01:41:35.000Z,2022-01-01T18:55:17.000Z,level_started,1641174004106
2,ios,app_1,2022-01-03T01:41:45.000Z,2022-01-01T18:55:17.000Z,level_completed,1641174004106
2,ios,app_1,2022-01-04T03:28:57.000Z,2022-01-01T18:55:17.000Z,app_started,1641266936380
2,ios,app_1,2022-01-04T03:33:54.000Z,2022-01-01T18:55:17.000Z,app_started,1641267233687
2,ios,app_1,2022-01-04T03:34:10.000Z,2022-01-01T18:55:17.000Z,level_started,1641267233687
2,ios,app_1,2022-01-04T03:34:36.000Z,2022-01-01T18:55:17.000Z,level_completed,1641267233687
2,ios,app_1,2022-01-04T03:36:55.000Z,2022-01-01T18:55:17.000Z,level_started,1641267233687
2,ios,app_1,2022-01-04T03:37:15.000Z,2022-01-01T18:55:17.000Z,level_completed,1641267233687
2,ios,app_1,2022-01-04T03:38:45.000Z,2022-01-01T18:55:17.000Z,level_started,1641267233687
2,ios,app_1,2022-01-04T03:41:16.000Z,2022-01-01T18:55:17.000Z,level_completed,1641267233687
2,ios,app_1,2022-01-04T03:41:29.000Z,2022-01-01T18:55:17.000Z,level_started,1641267233687
2,ios,app_1,2022-01-04T03:41:59.000Z,2022-01-01T18:55:17.000Z,level_completed,1641267233687
3,ios,app_1,2022-01-01T05:02:46.000Z,2022-01-01T05:02:46.000Z,app_started,1641013365666
3,ios,app_1,2022-01-01T05:02:49.000Z,2022-01-01T05:02:46.000Z,level_started,1641013367581
3,ios,app_1,2022-01-01T05:03:11.000Z,2022-01-01T05:02:46.000Z,level_completed,1641013384434
3,ios,app_1,2022-01-01T05:49:43.000Z,2022-01-01T05:02:46.000Z,level_started,1641016176282
3,ios,app_1,2022-01-01T05:49:48.000Z,2022-01-01T05:02:46.000Z,level_completed,1641016176282
3,ios,app_1,2022-01-01T05:50:14.000Z,2022-01-01T05:02:46.000Z,level_started,1641016206539
3,ios,app_1,2022-01-01T05:50:22.000Z,2022-01-01T05:02:46.000Z,level_completed,1641016206539
