USER_ID,PLATFORM,APP_NAME,CREATE_TS,INSTALL_TS,SESSION_ID
73,android,app_1,2022-01-02 21:19:24.000,2022-01-02 21:19:24.000,1641158364997
73,android,app_1,2022-01-02 21:21:01.000,2022-01-02 21:19:24.000,1641158461058
73,android,app_1,2022-01-02 21:22:28.000,2022-01-02 21:19:24.000,1641158548905
73,android,app_1,2022-01-02 21:25:02.000,2022-01-02 21:19:24.000,1641158702108
73,android,app_1,2022-01-02 21:26:40.000,2022-01-02 21:19:24.000,1641158800980
73,android,app_1,2022-01-02 21:28:06.000,2022-01-02 21:19:24.000,1641158886153
73,android,app_1,2022-01-02 21:29:51.000,2022-01-02 21:19:24.000,1641158991544
35,android,app_1,2022-01-01 21:12:38.000,2022-01-01 21:12:39.000,1641071558512
35,android,app_1,2022-01-01 21:15:10.000,2022-01-01 21:12:39.000,1641071710179
35,android,app_1,2022-01-01 21:17:02.000,2022-01-01 21:12:39.000,1641071822155
35,android,app_1,2022-01-01 21:17:48.000,2022-01-01 21:12:39.000,1641071868438
35,android,app_1,2022-01-01 21:18:41.000,2022-01-01 21:12:39.000,1641071921468
35,android,app_1,2022-01-01 21:20:32.000,2022-01-01 21:12:39.000,1641072032184
35,android,app_1,2022-01-01 21:22:15.000,2022-01-01 21:12:39.000,1641072135092
35,android,app_1,2022-01-01 21:23:43.000,2022-01-01 21:12:39.000,1641072223049
35,android,app_1,2022-01-01 21:25:16.000,2022-01-01 21:12:39.000,1641072316562
35,android,app_1,2022-01-01 21:26:29.000,2022-01-01 21:12:39.000,1641072389473
16,android,app_1,2022-01-01 11:06:35.000,2022-01-01 11:06:36.000,1641035195193
27,ios,app_1,2022-01-06 21:54:07.000,2022-01-01 03:38:36.000,1641506047942
89,ios,app_1,2022-01-07 02:38:13.000,2022-01-03 17:03:28.000,1641523093540
89,ios,app_1,2022-01-07 02:39:29.000,2022-01-03 17:03:28.000,1641523169108
89,ios,app_1,2022-01-07 03:10:24.000,2022-01-03 17:03:28.000,1641525024628
89,ios,app_1,2022-01-07 03:18:07.000,2022-01-03 17:03:28.000,1641525487231
89,ios,app_1,2022-01-07 03:19:28.000,2022-01-03 17:03:28.000,1641525568550
89,ios,app_1,2022-01-07 03:19:44.000,2022-01-03 17:03:28.000,1641525584662
89,ios,app_1,2022-01-07 03:19:53.000,2022-01-03 17:03:28.000,1641525593059
89,ios,app_1,2022-01-07 03:20:21.000,2022-01-03 17:03:28.000,1641525621398
89,ios,app_1,2022-01-07 03:22:22.000,2022-01-03 17:03:28.000,1641525742284
89,ios,app_1,2022-01-07 03:24:03.000,2022-01-03 17:03:28.000,1641525843625
39,ios,app_1,2022-01-07 15:33:41.000,2022-01-02 22:52:01.000,1641569621555
39,ios,app_1,2022-01-07 20:04:08.000,2022-01-02 22:52:01.000,1641585848013
14,ios,app_1,2022-01-07 19:31:27.000,2022-01-01 00:14:06.000,1641583887702
89,ios,app_1,2022-01-03 20:02:47.000,2022-01-03 17:03:28.000,1641240167990
89,ios,app_1,2022-01-03 20:06:17.000,2022-01-03 17:03:28.000,1641240377140
89,ios,app_1,2022-01-03 20:14:56.000,2022-01-03 17:03:28.000,1641240896325
89,ios,app_1,2022-01-03 20:14:57.000,2022-01-03 17:03:28.000,1641240897053
89,ios,app_1,2022-01-03 20:15:36.000,2022-01-03 17:03:28.000,1641240936725
