USER_ID,APP_NAME,PLATFORM,CREATE_TS,SESSION_ID,is_first_session
2,app_1,ios,2022-01-04T03:28:57.000Z,1641266936380,false
2,app_1,ios,2022-01-04T03:33:54.000Z,1641267233687,false
10,app_1,android,2022-01-04T15:48:42.000Z,1641311301325,false
10,app_1,android,2022-01-04T16:02:56.000Z,1641312164864,false
18,app_1,android,2022-01-04T11:00:45.000Z,1641294045885,false
18,app_1,android,2022-01-04T11:01:50.000Z,1641294101431,false
18,app_1,android,2022-01-04T11:03:54.000Z,1641294188490,false
18,app_1,android,2022-01-04T11:06:22.000Z,1641294364910,false
18,app_1,android,2022-01-04T11:08:05.000Z,1641294476631,false
18,app_1,android,2022-01-04T11:09:23.000Z,1641294553431,false
23,app_1,ios,2022-01-04T13:34:31.000Z,1641303270727,false
23,app_1,ios,2022-01-04T16:26:25.000Z,1641313571022,false
27,app_1,ios,2022-01-04T09:42:51.000Z,1641289371017,false
27,app_1,ios,2022-01-04T09:43:11.000Z,1641289390633,false
39,app_1,ios,2022-01-04T13:22:33.000Z,1641302552858,false
42,app_1,ios,2022-01-04T11:07:26.000Z,1641294445486,false
42,app_1,ios,2022-01-04T11:29:39.000Z,1641295772635,false
42,app_1,ios,2022-01-04T11:49:22.000Z,1641296959952,false
42,app_1,ios,2022-01-04T11:51:58.000Z,1641297060740,false
42,app_1,ios,2022-01-04T11:56:52.000Z,1641297383275,false
42,app_1,ios,2022-01-04T11:58:39.000Z,1641297477006,false
42,app_1,ios,2022-01-04T12:11:50.000Z,1641298309194,false
42,app_1,ios,2022-01-04T14:58:44.000Z,1641308323461,false
42,app_1,ios,2022-01-04T15:15:21.000Z,1641309310202,false
42,app_1,ios,2022-01-04T15:20:31.000Z,1641309617862,false
42,app_1,ios,2022-01-04T15:25:02.000Z,1641309896665,false
54,app_1,ios,2022-01-04T16:40:48.000Z,1641314446990,false
54,app_1,ios,2022-01-04T16:42:30.000Z,1641314507321,false
54,app_1,ios,2022-01-04T17:50:14.000Z,1641318612905,false
54,app_1,ios,2022-01-04T18:08:44.000Z,1641319706677,false
54,app_1,ios,2022-01-04T18:09:19.000Z,1641319727662,false
54,app_1,ios,2022-01-04T18:12:59.000Z,1641319970041,false
54,app_1,ios,2022-01-04T18:14:16.000Z,1641320048115,false
54,app_1,ios,2022-01-04T18:45:07.000Z,1641321906642,false
54,app_1,ios,2022-01-04T18:47:31.000Z,1641322039843,false
54,app_1,ios,2022-01-04T18:48:50.000Z,1641322121858,false
60,app_1,android,2022-01-04T05:32:12.000Z,1641274299881,false
60,app_1,android,2022-01-04T14:01:14.000Z,1641304869246,false
60,app_1,android,2022-01-04T14:01:35.000Z,1641304844454,false
64,app_1,ios,2022-01-04T13:21:40.000Z,1641302500229,false
66,app_1,ios,2022-01-04T00:39:43.000Z,1641256772142,false
66,app_1,ios,2022-01-04T17:30:55.000Z,1641317455272,false
67,app_1,ios,2022-01-04T02:03:50.000Z,1641261828500,false
